time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.111,-0.55,-4.21,3.11,-0.20,-0.96,0.32,Aufheben
0.022,0.122,-0.67,-4.27,2.87,-0.19,-0.96,0.33,Aufheben
0.035,0.13,0.67,-2.81,2.44,-0.19,-0.96,0.33,Aufheben
0.047,0.142,1.46,-2.50,2.38,-0.17,-0.96,0.33,Aufheben
0.059,0.154,1.34,-1.95,1.59,-0.18,-0.95,0.34,Aufheben
0.071,0.174,2.08,-1.10,1.83,-0.18,-0.93,0.32,Aufheben
0.083,0.6,1.95,0.00,1.04,-0.20,-0.94,0.31,Aufheben
0.095,0.6,1.16,1.16,0.18,-0.20,-0.96,0.31,Aufheben
0.107,0.6,1.16,2.20,-0.49,-0.19,-0.96,0.32,Aufheben
0.119,0.6,1.04,3.11,-1.40,-0.20,-0.94,0.31,Aufheben
0.131,0.6,0.43,3.48,-1.95,-0.19,-0.94,0.31,Aufheben
0.143,0.6,-0.37,3.66,-2.81,-0.20,-0.95,0.32,Aufheben
0.155,0.6,-1.10,4.03,-3.54,-0.20,-0.94,0.30,Aufheben
0.167,0.6,-2.38,4.27,-3.23,-0.20,-0.94,0.30,Aufheben
0.179,0.6,-2.69,4.76,-3.91,-0.21,-0.94,0.30,Aufheben
0.191,0.6,-4.46,3.72,-4.15,-0.19,-0.95,0.29,Aufheben
0.203,0.6,-4.94,3.54,-3.97,-0.22,-0.94,0.29,Aufheben
0.215,0.6,-5.86,2.87,-3.91,-0.19,-0.93,0.29,Aufheben
0.227,0.6,-6.47,2.32,-3.66,-0.21,-0.94,0.29,Aufheben
0.239,0.6,-8.00,1.40,-3.42,-0.21,-0.93,0.29,Aufheben
0.251,0.6,-9.16,0.79,-3.66,-0.21,-0.93,0.28,Aufheben
0.263,0.6,-10.01,0.43,-2.99,-0.21,-0.93,0.28,Aufheben
0.275,0.6,-11.66,0.31,-2.99,-0.23,-0.95,0.28,Aufheben
0.287,0.6,-12.82,-0.49,-2.93,-0.22,-0.96,0.29,Aufheben
0.299,0.6,-14.40,-1.53,-2.50,-0.22,-0.94,0.28,Aufheben
0.311,0.6,-15.26,-2.44,-1.95,-0.22,-0.93,0.27,Aufheben
0.323,0.6,-16.85,-2.93,-1.77,-0.22,-0.94,0.29,Aufheben
0.335,0.6,-17.94,-4.33,-1.34,-0.22,-0.95,0.27,Aufheben
0.347,0.6,-18.49,-5.00,-0.67,-0.21,-0.95,0.27,Aufheben
0.359,0.6,-19.71,-5.74,0.18,-0.22,-0.93,0.26,Aufheben
0.371,0.6,-20.94,-6.59,0.55,-0.22,-0.93,0.27,Aufheben
0.383,0.6,-21.97,-8.79,1.40,-0.23,-0.92,0.29,Aufheben
0.395,0.6,-23.19,-11.23,2.01,-0.23,-0.92,0.29,Aufheben
0.407,0.6,-25.82,-13.92,3.48,-0.24,-0.92,0.27,Aufheben
0.419,0.6,-26.98,-16.85,4.27,-0.22,-0.90,0.26,Aufheben
0.431,0.648,-28.93,-20.26,5.55,-0.23,-0.88,0.26,Aufheben
0.443,0.648,-30.33,-22.52,7.14,-0.20,-0.87,0.29,Aufheben
0.455,0.648,-31.01,-23.56,8.12,-0.23,-0.86,0.27,Aufheben
0.467,0.648,-31.49,-23.74,8.67,-0.23,-0.83,0.28,Aufheben
0.479,0.648,-32.04,-23.25,10.07,-0.25,-0.78,0.26,Aufheben
0.491,0.648,-32.29,-23.86,9.52,-0.28,-0.75,0.23,Aufheben
0.503,0.648,-32.78,-27.65,11.35,-0.28,-0.72,0.24,Aufheben
0.515,0.648,-37.05,-33.39,14.10,-0.29,-0.73,0.25,Aufheben
0.527,0.648,-41.63,-40.22,16.91,-0.27,-0.74,0.26,Aufheben
0.539,0.648,-45.78,-49.38,19.59,-0.28,-0.75,0.27,Aufheben
0.551,0.67,-47.97,-57.01,21.61,-0.26,-0.77,0.27,Aufheben
0.563,0.68,-50.48,-60.30,23.07,-0.24,-0.79,0.26,Aufheben
0.575,0.68,-50.54,-59.14,23.07,-0.24,-0.82,0.25,Aufheben
0.587,0.686,-47.49,-54.99,22.58,-0.22,-0.82,0.24,Aufheben
0.599,0.704,-45.04,-48.34,22.09,-0.18,-0.84,0.28,Aufheben
0.611,0.711,-41.44,-40.22,22.71,-0.19,-0.84,0.28,Aufheben
0.623,0.72,-37.66,-30.94,23.13,-0.20,-0.83,0.27,Aufheben
0.635,0.73,-32.41,-22.34,23.74,-0.19,-0.85,0.28,Aufheben
0.647,0.749,-25.88,-11.66,24.60,-0.18,-0.86,0.30,Aufheben
0.659,0.757,-18.55,-0.79,25.51,-0.18,-0.81,0.28,Aufheben
0.671,0.765,-11.41,10.74,26.67,-0.17,-0.78,0.26,Aufheben
0.683,0.781,-4.58,21.00,28.56,-0.18,-0.74,0.26,Aufheben
0.695,0.789,2.14,29.30,29.91,-0.21,-0.73,0.23,Aufheben
0.707,0.806,7.57,33.69,31.74,-0.23,-0.74,0.21,Aufheben
0.719,0.818,12.27,35.83,32.35,-0.23,-0.75,0.19,Aufheben
0.731,0.838,14.83,37.05,31.80,-0.23,-0.77,0.21,Aufheben
0.743,0.838,16.97,36.19,31.62,-0.22,-0.77,0.21,Aufheben
0.755,0.858,16.30,34.36,31.80,-0.23,-0.73,0.21,Aufheben
0.767,0.865,14.77,31.68,30.76,-0.26,-0.73,0.22,Aufheben
